,Treated_1,Treated_2,Treated_3,Untreated_1,Untreated_2,Untreated_3,Untreated_4
ID=FBgn0000339,729,608,866,650,626,679,991
ID=FBgn0000346,100,156,224,81,94,83,106
ID=FBgn0000352,839,1156,1345,848,1190,942,908
ID=FBgn0000370,12127,13446,16816,12900,13240,14266,16764
ID=FBgn0000376,1032,1836,2122,1083,1714,1614,1339
ID=FBgn0000377,807,1188,1649,858,1213,1086,932
ID=FBgn0000382,844,908,1225,1027,1288,1012,821
ID=FBgn0000384,1585,1176,1374,1098,1177,1148,1877
ID=FBgn0000392,2520,4112,5187,3165,4353,4513,3717
ID=FBgn0000394,572,754,1071,656,870,907,926
ID=FBgn0000395,563,631,744,905,1121,767,620
ID=FBgn0000404,2799,3277,4151,2540,3212,2945,3571
ID=FBgn0000405,2777,3760,4346,1975,2449,2088,2750
ID=FBgn0000406,82,109,184,427,518,678,240
ID=FBgn0000412,3114,3709,4508,2999,3360,3018,2690
ID=FBgn0000414,1870,2773,3490,2204,3332,2809,3416
ID=FBgn0000416,33026,43553,54767,45603,55655,55484,52685
ID=FBgn0000426,746,874,1337,815,720,808,716
ID=FBgn0000447,877,961,1255,580,646,721,609
ID=FBgn0000454,1951,3651,4775,2125,3643,3499,3446
ID=FBgn0000455,442,706,878,482,867,855,616
ID=FBgn0000464,9983,2464,2861,5934,3016,2103,2236
ID=FBgn0000479,5398,1439,1835,3714,1836,1590,1611
ID=FBgn0000482,897,1585,2069,1077,1609,1502,1389
ID=FBgn0000489,172,180,212,123,183,159,163
ID=FBgn0000490,368,459,492,247,294,241,175
ID=FBgn0000499,800,1280,1743,928,1413,1143,956
ID=FBgn0000520,402,871,1166,456,818,808,639
ID=FBgn0000524,786,1401,1579,708,1052,964,939
ID=FBgn0000527,90,184,161,140,228,206,190
ID=FBgn0000535,390,333,415,583,657,440,472
ID=FBgn0000536,1136,1173,1372,983,980,992,1380
ID=FBgn0000541,6317,5592,5974,7154,6416,4977,6305
ID=FBgn0000542,151,229,295,193,263,213,129
ID=FBgn0000543,516,1054,1504,605,899,935,762
ID=FBgn0000546,1169,1382,1584,1342,1791,1224,1382
ID=FBgn0000547,1050,779,995,781,893,683,625
ID=FBgn0000559,98918,144980,187365,105370,136254,144330,128341
ID=FBgn0000562,1165,1848,2212,1468,2090,1685,1728
ID=FBgn0000565,595,1037,1514,473,615,686,462
ID=FBgn0000566,787,1294,1271,785,837,1016,974
ID=FBgn0000567,191,220,222,423,594,412,411
ID=FBgn0000568,3870,4768,5845,5031,7232,4750,2873
ID=FBgn0000575,2035,1702,2275,1609,1883,1361,1401
ID=FBgn0000578,5616,6468,8065,7499,9200,6890,7877
ID=FBgn0000579,7513,14391,18433,6160,10570,9697,8258
ID=FBgn0000581,3017,4401,5001,3738,5214,3948,3803
ID=FBgn0000588,242,487,487,322,464,481,435
ID=FBgn0000611,1334,1568,1914,1625,1674,1729,1956
ID=FBgn0000615,429,504,530,367,412,452,651
ID=FBgn0000617,657,1103,1414,625,1092,1073,918
ID=FBgn0000618,171,196,321,155,130,217,170
ID=FBgn0000629,636,1407,1854,737,1584,1485,1587
ID=FBgn0000633,101,113,121,71,60,50,38
ID=FBgn0000635,5284,2105,2444,5730,3862,2633,2538
ID=FBgn0000662,1239,1536,1872,1458,1704,1440,1534
ID=FBgn0000667,2328,3752,4810,2744,4300,3931,3196
ID=FBgn0000709,2078,2701,3582,2447,3489,2941,2376
ID=FBgn0000711,1487,1389,1714,1342,1370,1288,1492
ID=FBgn0000719,2354,2581,3610,2666,3438,2579,2637
ID=FBgn0000721,24260,11811,12001,11736,9429,7926,11467
ID=FBgn0000723,2270,2753,3550,2577,3356,2742,2486
ID=FBgn0000808,121,163,210,161,163,189,133
ID=FBgn0000810,389,379,374,418,326,299,335
ID=FBgn0000826,119,198,290,95,143,124,120
ID=FBgn0000928,694,1120,1310,459,787,725,717
ID=FBgn0000996,1043,1447,1778,1392,1621,1621,1530
ID=FBgn0001078,1741,2054,2392,1798,2536,1785,1520
ID=FBgn0001079,400,569,722,362,540,513,502
ID=FBgn0001083,196,273,332,151,276,232,280
ID=FBgn0001084,89,97,138,61,78,94,71
ID=FBgn0001086,1237,1468,1831,1263,1442,1291,1523
ID=FBgn0001087,1468,2175,2958,1467,2247,2011,2013
ID=FBgn0001091,4085,7563,10200,2706,4688,4269,3899
ID=FBgn0001092,8557,14458,19424,7399,9927,10456,10515
ID=FBgn0001098,578,681,891,721,994,812,847
ID=FBgn0001104,8343,9767,12552,8622,10347,8993,10009
ID=FBgn0001105,6765,6883,8639,6486,6466,6097,5936
ID=FBgn0001108,1563,2859,3552,1816,3263,2884,2716
ID=FBgn0001114,25982,42562,54403,50264,58441,55829,46100
ID=FBgn0001122,1686,1512,1925,1146,1050,830,1087
ID=FBgn0001123,1167,945,1283,1258,1057,933,1160
ID=FBgn0001124,1210,2095,2690,822,1369,1386,1112
ID=FBgn0001125,1611,3024,3918,1937,3260,3161,3308
ID=FBgn0001128,209,280,400,306,378,381,366
ID=FBgn0001133,335,650,861,417,608,713,615
ID=FBgn0001137,290,278,404,512,752,784,969
ID=FBgn0001139,3393,4816,6478,4569,5816,5120,4224
ID=FBgn0001142,395,471,597,382,570,566,208
ID=FBgn0001145,350,630,805,418,615,571,268
ID=FBgn0001149,1887,2470,3375,2174,2467,2747,2386
ID=FBgn0001168,3258,3414,4669,3756,3952,3234,2012
ID=FBgn0001169,1366,1757,2160,1440,1982,1464,1605
ID=FBgn0001179,812,1336,1680,770,1169,1156,1054
ID=FBgn0001185,521,545,822,558,565,583,552
ID=FBgn0001186,2904,3560,4594,3330,3595,3222,2644
ID=FBgn0001189,1372,2017,2419,1250,1660,1532,1755
ID=FBgn0001197,3735,4226,5728,3338,3254,3342,4194
ID=FBgn0001202,768,868,1147,723,880,1006,974
ID=FBgn0001206,657,915,1142,555,645,596,576
ID=FBgn0001215,5003,7017,9734,6326,8642,7143,8061
ID=FBgn0001218,25235,38824,54225,32834,38354,39352,32512
ID=FBgn0001220,5129,7874,10107,5330,7132,7441,8293
ID=FBgn0001222,1015,1234,1693,1148,1379,1335,1308
ID=FBgn0001223,218,490,750,162,335,341,279
ID=FBgn0001224,840,1131,1728,340,372,491,384
ID=FBgn0001225,613,772,1206,228,315,355,280
ID=FBgn0001228,218,490,750,162,335,341,279
ID=FBgn0001230,148,241,348,187,261,198,162
ID=FBgn0001233,43594,64919,78444,39420,54445,57748,46815
ID=FBgn0001234,1974,1204,1436,1702,2317,1444,1106
ID=FBgn0001247,1421,1745,2178,1293,1496,1446,1475
ID=FBgn0001248,2412,4488,5542,2321,3408,3652,3447
ID=FBgn0001257,12783,14626,19742,10332,10170,9269,6512
ID=FBgn0001258,1607,2798,3757,1029,1398,1416,1259
ID=FBgn0001276,168,193,245,204,148,217,178
ID=FBgn0001280,704,713,984,590,585,644,829
ID=FBgn0001291,1128,1468,2054,1407,1604,1568,1377
ID=FBgn0001296,53,89,152,81,130,87,72
ID=FBgn0001297,9673,12989,16319,13387,19744,15048,14359
ID=FBgn0001301,1064,1536,1854,955,1477,1286,1367
ID=FBgn0001308,2750,5232,6748,3489,6156,5263,4747
ID=FBgn0001313,14821,14691,17994,15687,16826,15570,12483
ID=FBgn0001316,13053,18473,23382,13372,19113,14672,14923
ID=FBgn0001324,2077,3349,4029,2313,3530,3003,2880
ID=FBgn0001330,391,548,650,393,601,583,575
ID=FBgn0001341,390,486,504,388,419,401,479
ID=FBgn0001404,1750,1957,2493,1747,1884,1558,1726
ID=FBgn0001491,262,300,380,340,272,327,355
ID=FBgn0001565,2010,2630,3666,2107,2980,3219,2749
ID=FBgn0001612,1956,2507,3477,1936,2463,2695,3041
ID=FBgn0001624,5766,7098,8949,7342,8753,7033,7719
ID=FBgn0001941,2951,3189,4245,3605,3479,3519,4223
ID=FBgn0001942,43879,70328,92790,58270,77651,84848,75161
ID=FBgn0001961,4856,8999,11946,5806,9411,9017,7558
ID=FBgn0001965,1378,2302,2998,1687,2554,2120,2076
ID=FBgn0001970,420,691,818,429,754,693,690
ID=FBgn0001977,1317,1574,1947,1040,1282,1420,1179
ID=FBgn0001978,4496,7758,10229,5165,8215,7370,5783
ID=FBgn0001986,1121,1853,2184,1395,1970,1902,1847
ID=FBgn0001987,479,819,1104,370,718,609,781
ID=FBgn0001989,678,936,1128,773,1078,1096,909
ID=FBgn0001990,404,484,692,496,548,531,539
ID=FBgn0001992,198,66,85,125,77,49,127
ID=FBgn0001994,3407,3914,5015,3822,4428,3459,2455
ID=FBgn0001995,347,668,854,365,620,635,657
ID=FBgn0002021,274,343,475,244,312,317,337
ID=FBgn0002022,1198,1719,2215,1334,1568,1761,1690
ID=FBgn0002031,2786,4793,6057,2314,3966,3987,3808
ID=FBgn0002036,55,83,126,50,77,104,101
ID=FBgn0002044,2490,3604,4107,2934,3841,3377,3014
ID=FBgn0002069,7049,8813,11496,7270,8849,9492,8853
ID=FBgn0002121,3998,3175,3663,4612,4611,3287,4366
ID=FBgn0002174,626,1493,1938,734,1595,1364,1179
ID=FBgn0002183,6680,9526,12649,8249,9657,9570,8374
ID=FBgn0002283,299,448,620,285,479,464,538
ID=FBgn0002284,1622,2431,2975,1407,1922,2000,1996
ID=FBgn0002354,157,159,273,136,145,213,209
ID=FBgn0002413,2640,3570,4487,2924,3898,3419,3516
ID=FBgn0002431,6487,7546,7643,7041,7704,6767,7772
ID=FBgn0002441,1459,2282,2811,1674,2295,2146,2098
ID=FBgn0002466,2302,3055,3430,2288,2809,2517,2793
ID=FBgn0002521,746,325,414,610,418,328,782
ID=FBgn0002524,5747,6885,7906,5659,6754,6522,7173
ID=FBgn0002525,4537,6694,8096,4829,6195,5153,5847
ID=FBgn0002526,82929,116908,126565,90678,111812,97515,97886
ID=FBgn0002542,1358,1669,2014,1329,1644,1562,1522
ID=FBgn0002543,1189,1630,1921,842,1324,926,484
ID=FBgn0002552,910,1608,2144,1032,1640,1544,1424
ID=FBgn0002566,3106,2041,2175,2656,2425,1836,3341
ID=FBgn0002576,263,403,476,351,579,365,163
ID=FBgn0002577,509,923,1314,594,898,942,816
ID=FBgn0002579,10322,12881,17467,14027,13423,15775,12011
ID=FBgn0002590,24775,36306,52282,27110,39736,43802,43251
ID=FBgn0002593,19226,28544,37058,20017,29916,30586,31364
ID=FBgn0002622,27846,58371,79968,34525,56717,64707,48183
ID=FBgn0002626,22858,46949,66070,29610,46060,54414,46396
ID=FBgn0002638,2212,3527,4365,2767,4002,3799,3361
ID=FBgn0002641,449,588,661,359,494,495,451
ID=FBgn0002643,3834,4465,5473,4468,6447,4555,4663
ID=FBgn0002645,9808,8428,9762,8195,8886,6888,8030
ID=FBgn0002673,82,108,129,90,136,104,115
ID=FBgn0002707,261,411,498,283,347,354,361
ID=FBgn0002709,837,942,1101,778,783,591,720
ID=FBgn0002715,392,419,427,311,288,284,362
ID=FBgn0002716,612,398,418,579,523,401,493
ID=FBgn0002719,6470,10584,14097,7674,11681,10834,6583
ID=FBgn0002723,637,756,1006,792,1094,870,578
ID=FBgn0002733,287,435,577,275,373,385,408
ID=FBgn0002736,598,677,949,722,643,713,789
ID=FBgn0002774,1051,1168,1399,1075,1143,1110,1134
ID=FBgn0002775,355,487,647,460,494,566,514
ID=FBgn0002778,880,1092,1411,1225,1716,1658,2106
ID=FBgn0002780,4302,3521,4399,5159,4790,4614,5536
ID=FBgn0002781,4492,6850,8956,4945,6907,6445,6213
ID=FBgn0002783,3374,5030,6204,4125,5358,4664,4215
ID=FBgn0002787,2984,4367,5510,3364,4545,4132,4030
ID=FBgn0002791,446,534,623,381,422,420,519
ID=FBgn0002868,47,31,50,200,118,132,272
ID=FBgn0002872,938,926,1171,806,864,700,876
ID=FBgn0002873,2877,2838,3461,2327,2794,2039,2792
ID=FBgn0002878,590,1139,1289,762,1194,1012,1087
ID=FBgn0002887,604,709,949,626,738,725,663
ID=FBgn0002891,1277,1537,1914,1077,1308,1108,1074
ID=FBgn0002899,481,574,558,417,474,512,537
ID=FBgn0002901,199,258,280,195,236,192,251
ID=FBgn0002905,841,1102,1216,814,974,947,935
ID=FBgn0002906,529,583,717,729,666,686,681
ID=FBgn0002909,715,834,1036,840,795,844,849
ID=FBgn0002914,2108,2675,3265,2503,2601,2626,2705
ID=FBgn0002917,83,125,90,54,90,83,94
ID=FBgn0002921,14589,20453,25344,13829,17927,15930,16344
ID=FBgn0002924,4357,6946,8866,4872,6161,6076,5315
ID=FBgn0002926,104,145,157,82,150,92,144
ID=FBgn0002931,235,192,190,244,245,196,253
ID=FBgn0002932,682,867,1037,706,903,858,896
ID=FBgn0002945,100,63,85,176,250,121,76
ID=FBgn0002948,377,583,689,371,515,502,491
ID=FBgn0002973,180,209,269,213,280,202,178
ID=FBgn0002989,370,563,649,341,507,457,634
ID=FBgn0003008,162,191,238,162,138,184,203
ID=FBgn0003016,4377,462,605,2316,543,425,348
ID=FBgn0003041,1652,2372,2880,1227,1723,1658,1967
ID=FBgn0003042,272,248,351,251,338,212,271
ID=FBgn0003044,1539,2455,2988,1876,2449,2053,2091
ID=FBgn0003048,4282,6962,7895,4151,6935,5067,5095
ID=FBgn0003053,151,215,296,92,166,128,48
ID=FBgn0003062,1477,3488,4153,1706,3348,2725,2705
ID=FBgn0003067,869,1620,1941,1168,2055,1824,732
ID=FBgn0003068,106,199,334,126,286,243,199
ID=FBgn0003071,1122,1781,2600,1237,2140,1848,1443
ID=FBgn0003074,2246,3810,4515,1628,2254,2116,2114
ID=FBgn0003076,1845,2467,3474,1276,1478,1563,1422
ID=FBgn0003079,2515,2389,2860,2576,2466,2259,2565
ID=FBgn0003082,1009,1619,2129,892,1517,1476,1396
ID=FBgn0003087,174,104,94,122,74,52,169
ID=FBgn0003090,139,75,98,127,113,83,77
ID=FBgn0003093,1903,2080,2754,2574,2694,2458,2009
ID=FBgn0003116,220,204,241,156,211,212,220
ID=FBgn0003117,4014,6937,8490,5517,8818,7436,8390
ID=FBgn0003118,9888,10868,12856,10901,12874,9425,9466
ID=FBgn0003124,2684,3148,3942,2320,2643,2533,2763
ID=FBgn0003134,1231,1498,1954,1551,1579,1555,1395
ID=FBgn0003137,6245,9077,10606,3361,4804,3947,4282
ID=FBgn0003139,605,976,1190,541,744,859,844
ID=FBgn0003141,352,425,554,491,364,439,481
ID=FBgn0003159,910,1083,1319,1023,1090,878,761
ID=FBgn0003162,106,136,155,85,114,104,75
ID=FBgn0003165,17754,11613,13404,14764,13241,9433,6648
ID=FBgn0003169,1379,1747,2168,1635,1972,1816,1920
ID=FBgn0003175,1796,2919,3605,2740,4120,3023,2864
ID=FBgn0003189,3047,5651,6500,3397,6029,5313,5577
ID=FBgn0003204,1085,1653,2068,1210,1919,1727,1673
ID=FBgn0003205,2301,2850,3718,2481,2963,2834,3336
ID=FBgn0003206,1013,980,1349,1044,948,1052,1164
ID=FBgn0003209,2273,2139,2737,1733,1957,1762,1882
ID=FBgn0003210,1411,1913,2452,1357,1858,1693,1638
ID=FBgn0003218,729,1071,1236,657,1134,995,1004
ID=FBgn0003227,369,386,516,287,383,334,326
ID=FBgn0003231,3013,3399,4657,3711,4041,3880,3432
ID=FBgn0003250,1026,1031,1242,965,1130,901,1011
ID=FBgn0003256,1888,1003,1249,1605,1560,1089,1559
ID=FBgn0003257,974,1450,1678,758,1166,1139,1382
ID=FBgn0003261,14216,17635,22361,17862,21869,18920,16525
ID=FBgn0003267,160,228,358,151,330,260,197
ID=FBgn0003268,2536,3319,3682,2279,2859,2687,3213
ID=FBgn0003274,26013,33977,39903,20882,30298,33700,31773
ID=FBgn0003275,628,847,1092,653,725,864,780
ID=FBgn0003277,9652,14768,17444,11339,15056,12951,11839
ID=FBgn0003278,720,764,948,803,803,833,867
ID=FBgn0003279,37205,80925,103085,53331,93757,91761,71417
ID=FBgn0003301,24828,13236,13962,12182,11144,8782,12514
ID=FBgn0003302,59,105,115,102,132,96,75
ID=FBgn0003308,143,283,368,220,358,357,376
ID=FBgn0003310,1360,1835,2387,1338,2028,1561,1696
ID=FBgn0003317,1664,2012,2533,1093,1345,1406,1436
ID=FBgn0003321,3232,3455,4712,5051,5288,5478,5392
ID=FBgn0003330,514,965,1176,605,760,842,688
ID=FBgn0003334,1382,1852,2447,1614,2290,1873,1720
ID=FBgn0003345,3700,3723,4297,3871,3892,3402,3767
ID=FBgn0003346,1674,1972,2724,1733,1851,1992,2106
ID=FBgn0003353,578,766,1044,450,715,735,921
ID=FBgn0003360,1094,1229,1497,8191,7792,8334,10664
ID=FBgn0003371,4860,5119,6245,6497,8108,5875,6429
ID=FBgn0003390,362,671,805,414,592,603,515
ID=FBgn0003391,747,1255,1528,817,1317,1172,1426
ID=FBgn0003392,2722,3036,3801,2772,3582,3305,3958
ID=FBgn0003396,3287,4450,5274,4762,6321,4606,4050
ID=FBgn0003401,258,353,440,220,236,290,235
ID=FBgn0003410,1016,1027,1238,958,1119,896,1002
ID=FBgn0003415,3478,3818,4252,3271,4139,3096,3087
ID=FBgn0003416,1277,1498,1815,1048,1569,1322,1591
ID=FBgn0003423,582,694,897,572,674,624,820
ID=FBgn0003435,295,273,291,306,351,227,187
ID=FBgn0003444,767,676,778,667,629,587,594
ID=FBgn0003447,519,583,806,451,484,447,354
ID=FBgn0003449,531,561,824,557,565,612,560
ID=FBgn0003459,722,784,1035,794,873,767,771
ID=FBgn0003462,1114,2054,2716,1322,1967,2168,1969
ID=FBgn0003463,1310,1727,2389,1541,2092,1795,1350
ID=FBgn0003464,3244,5679,7371,3289,5909,5097,4682
ID=FBgn0003475,2790,3964,5090,2755,4283,2968,3127
ID=FBgn0003479,366,592,818,353,570,565,525
ID=FBgn0003483,789,1074,1223,696,957,895,1009
ID=FBgn0003495,5282,5536,7126,5966,4892,4917,6193
ID=FBgn0003502,1369,1949,2532,888,1261,1192,1094
ID=FBgn0003507,4068,6594,7923,6319,8743,7142,7480
ID=FBgn0003510,380,574,855,491,547,561,477
ID=FBgn0003511,380,574,855,491,547,561,477
ID=FBgn0003512,772,1348,1708,906,1345,1356,1032
ID=FBgn0003514,3529,5679,7529,3371,5074,5236,5754
ID=FBgn0003517,61612,125906,160024,72033,115194,120821,100385
ID=FBgn0003520,2149,2547,3213,2270,2831,2217,2109
ID=FBgn0003525,1006,1254,1635,2048,2004,1838,1656
ID=FBgn0003545,609,773,942,647,737,760,952
ID=FBgn0003557,2271,3014,3651,2990,4040,3467,3371
ID=FBgn0003559,1691,2016,2636,1638,2089,2152,2223
ID=FBgn0003567,910,1130,1378,1079,1147,1052,1226
ID=FBgn0003575,774,1106,1334,1137,1432,1279,1016
ID=FBgn0003598,979,1454,1722,966,1339,1277,1254
ID=FBgn0003607,2580,2639,3552,3221,2893,2833,3231
ID=FBgn0003612,1642,2224,2834,1911,2354,2201,2378
ID=FBgn0003638,1454,2001,2592,1847,2559,2219,1942
ID=FBgn0003654,663,1089,1279,853,1232,1046,1216
ID=FBgn0003655,121,182,231,168,223,220,237
ID=FBgn0003656,1429,2091,2918,1510,2144,1850,1547
ID=FBgn0003660,2341,2937,4215,3090,3103,3464,3762
ID=FBgn0003676,4335,6495,8541,3719,5399,5691,5449
ID=FBgn0003687,327,466,647,334,431,462,398
ID=FBgn0003701,597,747,835,633,804,747,889
ID=FBgn0003714,280,370,487,292,286,257,321
ID=FBgn0003716,2132,2097,2495,1860,1879,1957,1890
ID=FBgn0003721,5453,4149,5236,5421,5117,4342,6192
ID=FBgn0003731,197,255,341,234,385,270,171
ID=FBgn0003741,153,195,255,151,151,185,143
ID=FBgn0003742,307,477,601,321,500,466,503
ID=FBgn0003744,769,1072,1332,1096,1171,1170,1090
ID=FBgn0003748,1562,2256,2696,853,1068,1073,1249
ID=FBgn0003862,3718,3983,4512,5472,6317,4643,4331
ID=FBgn0003866,2437,2791,3304,3160,3140,2731,2715
ID=FBgn0003870,1534,1768,2066,2084,2217,1919,1832
ID=FBgn0003882,958,1208,1536,1098,1197,1229,1210
ID=FBgn0003884,37822,71147,90903,25378,44790,44980,50423
ID=FBgn0003885,3908,3931,4253,3363,2799,2720,3502
ID=FBgn0003886,412,719,1071,268,416,412,469
ID=FBgn0003890,1459,1819,2331,1865,2611,2188,2884
ID=FBgn0003891,11400,13863,16159,16418,20394,16706,16350
ID=FBgn0003892,724,1004,1190,965,1311,995,971
ID=FBgn0003941,20165,26509,36260,27801,24418,30994,27771
ID=FBgn0003942,26978,31539,45001,33951,31254,41760,34768
ID=FBgn0003943,14621,21356,26193,13127,17525,17827,16506
ID=FBgn0003950,203,277,348,244,372,337,317
ID=FBgn0003963,10126,10879,12484,15728,17516,13153,11859
ID=FBgn0003964,1259,1851,2351,1323,2063,1871,1576
ID=FBgn0003969,2228,2738,3260,1972,2570,2521,3166
ID=FBgn0003977,1380,2598,3248,1435,2777,2293,2071
ID=FBgn0003978,377,796,929,415,766,740,705
ID=FBgn0003984,106,103,103,154,131,114,96
ID=FBgn0003996,108,148,185,67,76,125,54
ID=FBgn0003997,150,93,165,211,247,175,53
ID=FBgn0004034,415,344,459,284,226,323,203
ID=FBgn0004049,947,1044,1493,1180,1351,1048,1217
ID=FBgn0004050,752,1029,1388,795,1100,939,649
ID=FBgn0004055,1428,1666,2118,1569,1665,1650,1903
ID=FBgn0004057,594,1199,1706,672,1437,1324,1371
ID=FBgn0004066,3188,4274,5570,2717,3504,3733,2236
ID=FBgn0004087,255,292,416,234,262,361,294
ID=FBgn0004101,449,624,639,495,636,506,530
ID=FBgn0004103,4899,6198,7396,6298,5855,6107,6405
ID=FBgn0004106,613,567,633,496,540,518,715
ID=FBgn0004107,273,380,425,273,260,275,377
ID=FBgn0004108,651,1216,1582,374,687,676,588
ID=FBgn0004132,569,766,1114,695,710,753,676
ID=FBgn0004133,1146,1310,1956,1455,1719,1556,1619
ID=FBgn0004167,41355,63018,65728,52019,70785,54968,52126
ID=FBgn0004177,5592,5815,8144,6294,6510,5906,5742
ID=FBgn0004179,1463,1295,1584,1432,1356,1369,1659
ID=FBgn0004197,1002,1513,1936,1426,2219,1863,1911
ID=FBgn0004198,5403,5416,6752,7919,8618,6167,4128
ID=FBgn0004227,1029,1347,1695,1211,1515,1375,1573
ID=FBgn0004237,3749,6306,8647,4710,7367,5658,5551
ID=FBgn0004242,4555,1559,1752,4931,3257,2132,2231
ID=FBgn0004359,159,184,197,90,130,129,106
ID=FBgn0004362,4285,4890,5740,4123,4169,4045,5161
ID=FBgn0004363,5719,8653,10820,5549,6944,7939,8559
ID=FBgn0004367,600,1009,1234,547,851,774,825
ID=FBgn0004368,1783,2832,3622,1651,2364,2046,2515
ID=FBgn0004369,1324,1227,1555,1396,2015,1646,1637
ID=FBgn0004370,7178,4731,5435,7873,6770,4995,4797
ID=FBgn0004373,3891,4714,5522,3878,5001,3887,4396
ID=FBgn0004374,877,1451,1839,997,1589,1505,1339
ID=FBgn0004378,1782,2680,3316,1782,2576,2403,2620
ID=FBgn0004379,720,997,1207,730,873,917,898
ID=FBgn0004380,665,948,1194,695,966,1028,913
ID=FBgn0004381,437,642,903,427,617,612,587
ID=FBgn0004387,1623,2433,3114,2128,3239,2719,2987
ID=FBgn0004390,2484,3788,5078,2212,3494,2694,3063
ID=FBgn0004391,1208,2087,2599,1271,1979,1762,1702
ID=FBgn0004395,857,834,1106,942,1119,957,1054
ID=FBgn0004396,5242,4107,5281,2706,2466,1648,1639
ID=FBgn0004397,2548,3984,4839,3085,4965,3835,3747
ID=FBgn0004400,444,287,396,275,263,246,315
ID=FBgn0004401,6683,9666,12569,6929,10221,8349,7163
ID=FBgn0004403,15508,29941,39284,17580,27768,35364,23721
ID=FBgn0004404,7838,11666,14415,9055,10911,13748,12172
ID=FBgn0004406,588,1000,1341,568,961,846,785
ID=FBgn0004407,353,493,707,439,468,447,472
