	sampleGSM461176	sampleGSM461177	sampleGSM461178	sampleGSM461179	sampleGSM461180	sampleGSM461181	sampleGSM461182
ID=FBgn0000283	4671	4538	4164	3459	4575	5299	4185
ID=FBgn0000286	624	810	610	375	488	674	674
ID=FBgn0000287	0	0	2	2	0	5	0
ID=FBgn0000289	3676	4760	4207	2783	4346	5141	4694
ID=FBgn0000299	42178	59778	48768	55487	92303	101897	43383
ID=FBgn0000303	10	10	12	16	4	12	6
ID=FBgn0000307	2498	2616	2083	2310	2126	2758	2076
ID=FBgn0000308	24794	18575	18624	22077	19445	27466	22687
ID=FBgn0000316	361	305	338	368	391	466	408
ID=FBgn0000317	1343	1844	1642	1294	1804	2022	2033
ID=FBgn0000318	1060	1069	1250	1037	1366	2016	1262
ID=FBgn0000319	12217	18456	17120	13074	19620	22649	18615
ID=FBgn0000320	0	0	0	1	4	0	3
ID=FBgn0000326	285	350	308	300	387	443	288
ID=FBgn0000330	161	407	402	211	396	506	462
ID=FBgn0000337	19	39	35	31	29	33	24
ID=FBgn0000339	650	626	679	729	608	866	991
ID=FBgn0000346	81	94	83	100	156	224	106
ID=FBgn0000351	25	44	49	64	55	70	55
ID=FBgn0000352	848	1190	942	839	1156	1345	908
ID=FBgn0000355	2	0	0	1	0	0	1
ID=FBgn0000356	0	0	0	0	0	0	0
ID=FBgn0000357	4	4	6	4	4	8	3
ID=FBgn0000358	1	0	0	0	0	0	0
ID=FBgn0000359	0	2	0	0	0	0	1
ID=FBgn0000360	0	0	1	0	2	0	0
ID=FBgn0000370	12900	13240	14266	12127	13446	16816	16764
ID=FBgn0000376	1083	1714	1614	1032	1836	2122	1339
ID=FBgn0000377	858	1213	1086	807	1188	1649	932
ID=FBgn0000382	1027	1288	1012	844	908	1225	821
ID=FBgn0000384	1098	1177	1148	1585	1176	1374	1877
ID=FBgn0000392	3165	4353	4513	2520	4112	5187	3717
ID=FBgn0000394	656	870	907	572	754	1071	926
ID=FBgn0000395	905	1121	767	563	631	744	620
ID=FBgn0000404	2540	3212	2945	2799	3277	4151	3571
ID=FBgn0000405	1975	2449	2088	2777	3760	4346	2750
ID=FBgn0000406	427	518	678	82	109	184	240
ID=FBgn0000411	0	0	0	0	0	0	0
ID=FBgn0000412	2999	3360	3018	3114	3709	4508	2690
ID=FBgn0000414	2204	3332	2809	1870	2773	3490	3416
ID=FBgn0000416	45603	55655	55484	33026	43553	54767	52685
ID=FBgn0000422	5	14	10	10	5	18	9
ID=FBgn0000426	815	720	808	746	874	1337	716
ID=FBgn0000427	0	0	2	0	0	0	0
ID=FBgn0000439	0	0	0	0	1	0	0
ID=FBgn0000442	3	6	4	4	2	12	2
ID=FBgn0000447	580	646	721	877	961	1255	609
ID=FBgn0000448	15	11	11	13	13	32	10
ID=FBgn0000449	0	0	0	1	0	0	1
ID=FBgn0000451	0	0	0	0	0	4	1
ID=FBgn0000454	2125	3643	3499	1951	3651	4775	3446
ID=FBgn0000455	482	867	855	442	706	878	616
ID=FBgn0000459	6	5	13	7	8	7	3
ID=FBgn0000463	2	3	2	5	2	8	2
ID=FBgn0000464	5934	3016	2103	9983	2464	2861	2236
ID=FBgn0000477	1	4	4	0	2	4	1
ID=FBgn0000479	3714	1836	1590	5398	1439	1835	1611
ID=FBgn0000482	1077	1609	1502	897	1585	2069	1389
ID=FBgn0000489	123	183	159	172	180	212	163
ID=FBgn0000490	247	294	241	368	459	492	175
ID=FBgn0000492	1	0	4	1	0	0	2
ID=FBgn0000499	928	1413	1143	800	1280	1743	956
ID=FBgn0000500	0	2	4	3	8	10	1
ID=FBgn0000504	17	15	8	28	10	5	17
ID=FBgn0000520	456	818	808	402	871	1166	639
ID=FBgn0000524	708	1052	964	786	1401	1579	939
ID=FBgn0000527	140	228	206	90	184	161	190
ID=FBgn0000529	1	0	0	1	0	1	2
ID=FBgn0000533	10	6	14	11	7	18	2
ID=FBgn0000535	583	657	440	390	333	415	472
ID=FBgn0000536	983	980	992	1136	1173	1372	1380
ID=FBgn0000541	7154	6416	4977	6317	5592	5974	6305
ID=FBgn0000542	193	263	213	151	229	295	129
ID=FBgn0000543	605	899	935	516	1054	1504	762
ID=FBgn0000546	1342	1791	1224	1169	1382	1584	1382
ID=FBgn0000547	781	893	683	1050	779	995	625
ID=FBgn0000551	1	4	0	0	4	2	1
ID=FBgn0000552	0	0	0	0	0	0	0
ID=FBgn0000557	311	54	59	268	66	91	47
ID=FBgn0000559	105370	136254	144330	98918	144980	187365	128341
ID=FBgn0000560	2	0	0	1	0	2	0
ID=FBgn0000562	1468	2090	1685	1165	1848	2212	1728
ID=FBgn0000564	0	0	0	0	0	0	0
ID=FBgn0000565	473	615	686	595	1037	1514	462
ID=FBgn0000566	785	837	1016	787	1294	1271	974
ID=FBgn0000567	423	594	412	191	220	222	411
ID=FBgn0000568	5031	7232	4750	3870	4768	5845	2873
ID=FBgn0000575	1609	1883	1361	2035	1702	2275	1401
ID=FBgn0000576	0	0	0	0	0	0	0
ID=FBgn0000577	2	2	0	0	2	1	2
ID=FBgn0000578	7499	9200	6890	5616	6468	8065	7877
ID=FBgn0000579	6160	10570	9697	7513	14391	18433	8258
ID=FBgn0000581	3738	5214	3948	3017	4401	5001	3803
ID=FBgn0000588	322	464	481	242	487	487	435
ID=FBgn0000591	0	0	0	0	0	0	1
ID=FBgn0000592	2	4	4	3	1	8	7
ID=FBgn0000594	44	61	39	56	34	43	55
ID=FBgn0000606	1	2	0	0	4	0	1
ID=FBgn0000611	1625	1674	1729	1334	1568	1914	1956
ID=FBgn0000615	367	412	452	429	504	530	651
ID=FBgn0000617	625	1092	1073	657	1103	1414	918
ID=FBgn0000618	155	130	217	171	196	321	170
ID=FBgn0000625	0	0	1	2	0	1	2
ID=FBgn0000629	737	1584	1485	636	1407	1854	1587
ID=FBgn0000633	71	60	50	101	113	121	38
ID=FBgn0000635	5730	3862	2633	5284	2105	2444	2538
ID=FBgn0000636	60	80	71	54	54	71	59
ID=FBgn0000639	0	0	2	0	0	2	2
ID=FBgn0000640	5	0	0	1	0	4	0
ID=FBgn0000644	7	8	7	3	2	13	11
ID=FBgn0000658	3	4	2	8	6	6	5
ID=FBgn0000659	5	0	0	3	5	4	2
ID=FBgn0000662	1458	1704	1440	1239	1536	1872	1534
ID=FBgn0000667	2744	4300	3931	2328	3752	4810	3196
ID=FBgn0000709	2447	3489	2941	2078	2701	3582	2376
ID=FBgn0000711	1342	1370	1288	1487	1389	1714	1492
ID=FBgn0000715	0	0	0	2	0	0	0
ID=FBgn0000719	2666	3438	2579	2354	2581	3610	2637
ID=FBgn0000721	11736	9429	7926	24260	11811	12001	11467
ID=FBgn0000723	2577	3356	2742	2270	2753	3550	2486
ID=FBgn0000808	161	163	189	121	163	210	133
ID=FBgn0000810	418	326	299	389	379	374	335
ID=FBgn0000826	95	143	124	119	198	290	120
ID=FBgn0000927	18	60	37	27	58	65	26
ID=FBgn0000928	459	787	725	694	1120	1310	717
ID=FBgn0000964	0	0	2	1	0	0	0
ID=FBgn0000996	1392	1621	1621	1043	1447	1778	1530
ID=FBgn0001075	43	74	54	38	70	65	35
ID=FBgn0001077	0	0	0	0	0	0	0
ID=FBgn0001078	1798	2536	1785	1741	2054	2392	1520
ID=FBgn0001079	362	540	513	400	569	722	502
ID=FBgn0001083	151	276	232	196	273	332	280
ID=FBgn0001084	61	78	94	89	97	138	71
ID=FBgn0001085	98	97	87	73	89	75	52
ID=FBgn0001086	1263	1442	1291	1237	1468	1831	1523
ID=FBgn0001087	1467	2247	2011	1468	2175	2958	2013
ID=FBgn0001089	59	73	76	64	87	120	67
ID=FBgn0001090	25	58	30	39	57	98	44
ID=FBgn0001091	2706	4688	4269	4085	7563	10200	3899
ID=FBgn0001092	7399	9927	10456	8557	14458	19424	10515
ID=FBgn0001098	721	994	812	578	681	891	847
ID=FBgn0001099	52	73	54	62	34	49	63
ID=FBgn0001104	8622	10347	8993	8343	9767	12552	10009
ID=FBgn0001105	6486	6466	6097	6765	6883	8639	5936
ID=FBgn0001108	1816	3263	2884	1563	2859	3552	2716
ID=FBgn0001112	0	2	0	3	2	2	1
ID=FBgn0001114	50264	58441	55829	25982	42562	54403	46100
ID=FBgn0001120	2	2	2	3	2	4	0
ID=FBgn0001122	1146	1050	830	1686	1512	1925	1087
ID=FBgn0001123	1258	1057	933	1167	945	1283	1160
ID=FBgn0001124	822	1369	1386	1210	2095	2690	1112
ID=FBgn0001125	1937	3260	3161	1611	3024	3918	3308
ID=FBgn0001128	306	378	381	209	280	400	366
ID=FBgn0001133	417	608	713	335	650	861	615
ID=FBgn0001134	21	14	28	11	26	21	11
ID=FBgn0001137	512	752	784	290	278	404	969
ID=FBgn0001138	6	4	3	2	5	4	3
ID=FBgn0001139	4569	5816	5120	3393	4816	6478	4224
ID=FBgn0001142	382	570	566	395	471	597	208
ID=FBgn0001145	418	615	571	350	630	805	268
ID=FBgn0001147	1	0	0	0	0	0	1
ID=FBgn0001148	0	0	0	0	0	0	0
ID=FBgn0001149	2174	2467	2747	1887	2470	3375	2386
ID=FBgn0001150	61	69	63	34	42	81	47
ID=FBgn0001168	3756	3952	3234	3258	3414	4669	2012
ID=FBgn0001169	1440	1982	1464	1366	1757	2160	1605
ID=FBgn0001170	1	6	0	1	3	2	1
ID=FBgn0001174	1	0	2	1	0	0	0
ID=FBgn0001179	770	1169	1156	812	1336	1680	1054
ID=FBgn0001180	3	8	9	5	2	4	2
ID=FBgn0001185	558	565	583	521	545	822	552
ID=FBgn0001186	3330	3595	3222	2904	3560	4594	2644
ID=FBgn0001187	10	15	10	8	8	32	8
ID=FBgn0001189	1250	1660	1532	1372	2017	2419	1755
ID=FBgn0001197	3338	3254	3342	3735	4226	5728	4194
ID=FBgn0001202	723	880	1006	768	868	1147	974
ID=FBgn0001206	555	645	596	657	915	1142	576
ID=FBgn0001208	0	0	0	1	2	0	1
ID=FBgn0001215	6326	8642	7143	5003	7017	9734	8061
ID=FBgn0001216	1	2	2	4	3	8	2
ID=FBgn0001217	0	4	6	2	6	4	2
ID=FBgn0001218	32834	38354	39352	25235	38824	54225	32512
ID=FBgn0001220	5330	7132	7441	5129	7874	10107	8293
ID=FBgn0001222	1148	1379	1335	1015	1234	1693	1308
ID=FBgn0001223	162	335	341	218	490	750	279
ID=FBgn0001224	340	372	491	840	1131	1728	384
ID=FBgn0001225	228	315	355	613	772	1206	280
ID=FBgn0001227	14	42	35	22	48	62	23
ID=FBgn0001228	162	335	341	218	490	750	279
ID=FBgn0001229	5	2	2	3	12	6	1
ID=FBgn0001230	187	261	198	148	241	348	162
ID=FBgn0001233	39420	54445	57748	43594	64919	78444	46815
ID=FBgn0001234	1702	2317	1444	1974	1204	1436	1106
ID=FBgn0001235	6	6	1	6	6	2	2
ID=FBgn0001247	1293	1496	1446	1421	1745	2178	1475
ID=FBgn0001248	2321	3408	3652	2412	4488	5542	3447
ID=FBgn0001250	51	65	66	39	49	81	46
ID=FBgn0001253	2	6	8	1	4	3	2
ID=FBgn0001254	1	0	2	0	4	0	0
ID=FBgn0001255	8	14	15	10	27	9	18
ID=FBgn0001256	1	4	1	0	0	0	1
ID=FBgn0001257	10332	10170	9269	12783	14626	19742	6512
ID=FBgn0001258	1029	1398	1416	1607	2798	3757	1259
ID=FBgn0001259	14	28	20	10	19	35	14
ID=FBgn0001263	50	58	64	64	77	66	163
ID=FBgn0001269	0	0	0	1	0	0	2
ID=FBgn0001276	204	148	217	168	193	245	178
ID=FBgn0001280	590	585	644	704	713	984	829
ID=FBgn0001281	8	23	18	62	30	30	64
ID=FBgn0001285	0	0	0	0	1	0	0
ID=FBgn0001291	1407	1604	1568	1128	1468	2054	1377
ID=FBgn0001296	81	130	87	53	89	152	72
ID=FBgn0001297	13387	19744	15048	9673	12989	16319	14359
ID=FBgn0001301	955	1477	1286	1064	1536	1854	1367
ID=FBgn0001308	3489	6156	5263	2750	5232	6748	4747
ID=FBgn0001311	14	24	14	19	25	34	10
ID=FBgn0001313	15687	16826	15570	14821	14691	17994	12483
ID=FBgn0001316	13372	19113	14672	13053	18473	23382	14923
ID=FBgn0001319	5	1	4	2	2	12	1
ID=FBgn0001320	0	0	1	0	0	0	0
ID=FBgn0001321	16	11	6	10	9	32	7
ID=FBgn0001323	1	2	0	0	0	0	1
ID=FBgn0001324	2313	3530	3003	2077	3349	4029	2880
ID=FBgn0001325	0	0	0	0	1	2	2
ID=FBgn0001330	393	601	583	391	548	650	575
ID=FBgn0001341	388	419	401	390	486	504	479
ID=FBgn0001404	1747	1884	1558	1750	1957	2493	1726
ID=FBgn0001491	340	272	327	262	300	380	355
ID=FBgn0001565	2107	2980	3219	2010	2630	3666	2749
ID=FBgn0001612	1936	2463	2695	1956	2507	3477	3041
ID=FBgn0001624	7342	8753	7033	5766	7098	8949	7719
ID=FBgn0001941	3605	3479	3519	2951	3189	4245	4223
ID=FBgn0001942	58270	77651	84848	43879	70328	92790	75161
ID=FBgn0001961	5806	9411	9017	4856	8999	11946	7558
ID=FBgn0001965	1687	2554	2120	1378	2302	2998	2076
ID=FBgn0001967	13	35	36	4	6	14	18
ID=FBgn0001970	429	754	693	420	691	818	690
ID=FBgn0001977	1040	1282	1420	1317	1574	1947	1179
ID=FBgn0001978	5165	8215	7370	4496	7758	10229	5783
ID=FBgn0001983	0	0	0	0	0	0	0
ID=FBgn0001986	1395	1970	1902	1121	1853	2184	1847
ID=FBgn0001987	370	718	609	479	819	1104	781
ID=FBgn0001989	773	1078	1096	678	936	1128	909
ID=FBgn0001990	496	548	531	404	484	692	539
ID=FBgn0001991	6	6	8	9	4	5	4
ID=FBgn0001992	125	77	49	198	66	85	127
ID=FBgn0001994	3822	4428	3459	3407	3914	5015	2455
ID=FBgn0001995	365	620	635	347	668	854	657
ID=FBgn0002021	244	312	317	274	343	475	337
ID=FBgn0002022	1334	1568	1761	1198	1719	2215	1690
ID=FBgn0002023	16	9	20	8	4	24	6
ID=FBgn0002031	2314	3966	3987	2786	4793	6057	3808
ID=FBgn0002036	50	77	104	55	83	126	101
ID=FBgn0002044	2934	3841	3377	2490	3604	4107	3014
ID=FBgn0002069	7270	8849	9492	7049	8813	11496	8853
ID=FBgn0002121	4612	4611	3287	3998	3175	3663	4366
ID=FBgn0002174	734	1595	1364	626	1493	1938	1179
ID=FBgn0002183	8249	9657	9570	6680	9526	12649	8374
ID=FBgn0002283	285	479	464	299	448	620	538
ID=FBgn0002284	1407	1922	2000	1622	2431	2975	1996
ID=FBgn0002306	11	28	5	11	14	10	6
ID=FBgn0002354	136	145	213	157	159	273	209
ID=FBgn0002413	2924	3898	3419	2640	3570	4487	3516
ID=FBgn0002431	7041	7704	6767	6487	7546	7643	7772
ID=FBgn0002440	33	45	46	47	58	62	76
ID=FBgn0002441	1674	2295	2146	1459	2282	2811	2098
ID=FBgn0002466	2288	2809	2517	2302	3055	3430	2793
ID=FBgn0002521	610	418	328	746	325	414	782
ID=FBgn0002522	0	2	4	1	0	0	0
ID=FBgn0002524	5659	6754	6522	5747	6885	7906	7173
ID=FBgn0002525	4829	6195	5153	4537	6694	8096	5847
ID=FBgn0002526	90678	111812	97515	82929	116908	126565	97886
ID=FBgn0002531	5	22	10	7	6	6	5
ID=FBgn0002533	1	0	0	1	0	2	3
ID=FBgn0002534	1	2	0	0	0	5	1
ID=FBgn0002535	3	0	0	0	2	0	1
ID=FBgn0002542	1329	1644	1562	1358	1669	2014	1522
ID=FBgn0002543	842	1324	926	1189	1630	1921	484
ID=FBgn0002552	1032	1640	1544	910	1608	2144	1424
ID=FBgn0002561	0	0	0	0	0	0	0
ID=FBgn0002562	0	0	0	0	0	0	0
ID=FBgn0002563	4	2	6	4	10	8	3
ID=FBgn0002564	17	28	21	21	36	23	13
ID=FBgn0002565	2	2	4	0	2	4	2
ID=FBgn0002566	2656	2425	1836	3106	2041	2175	3341
ID=FBgn0002567	36	45	57	68	103	129	46
ID=FBgn0002569	5	8	8	5	4	10	9
ID=FBgn0002570	9	10	6	7	10	10	9
ID=FBgn0002571	0	4	6	0	3	2	1
ID=FBgn0002573	0	0	0	0	0	0	2
ID=FBgn0002576	351	579	365	263	403	476	163
ID=FBgn0002577	594	898	942	509	923	1314	816
ID=FBgn0002578	3	0	4	5	10	8	2
ID=FBgn0002579	14027	13423	15775	10322	12881	17467	12011
ID=FBgn0002590	27110	39736	43802	24775	36306	52282	43251
ID=FBgn0002592	8	19	11	9	14	19	1
ID=FBgn0002593	20017	29916	30586	19226	28544	37058	31364
ID=FBgn0002609	44	72	61	17	25	26	95
ID=FBgn0002622	34525	56717	64707	27846	58371	79968	48183
ID=FBgn0002626	29610	46060	54414	22858	46949	66070	46396
ID=FBgn0002629	0	0	0	0	0	0	0
ID=FBgn0002631	0	0	0	1	0	0	0
ID=FBgn0002632	0	0	0	0	0	0	0
ID=FBgn0002633	1	0	0	0	0	0	0
ID=FBgn0002638	2767	4002	3799	2212	3527	4365	3361
ID=FBgn0002641	359	494	495	449	588	661	451
ID=FBgn0002643	4468	6447	4555	3834	4465	5473	4663
ID=FBgn0002645	8195	8886	6888	9808	8428	9762	8030
ID=FBgn0002673	90	136	104	82	108	129	115
ID=FBgn0002707	283	347	354	261	411	498	361
ID=FBgn0002709	778	783	591	837	942	1101	720
ID=FBgn0002715	311	288	284	392	419	427	362
ID=FBgn0002716	579	523	401	612	398	418	493
ID=FBgn0002719	7674	11681	10834	6470	10584	14097	6583
ID=FBgn0002723	792	1094	870	637	756	1006	578
ID=FBgn0002732	4	4	4	2	4	6	9
ID=FBgn0002733	275	373	385	287	435	577	408
ID=FBgn0002734	19	20	4	7	14	15	12
ID=FBgn0002735	11	8	6	8	4	8	6
ID=FBgn0002736	722	643	713	598	677	949	789
ID=FBgn0002772	5	2	2	3	0	10	1
ID=FBgn0002773	56	65	81	18	26	46	43
ID=FBgn0002774	1075	1143	1110	1051	1168	1399	1134
ID=FBgn0002775	460	494	566	355	487	647	514
ID=FBgn0002778	1225	1716	1658	880	1092	1411	2106
ID=FBgn0002780	5159	4790	4614	4302	3521	4399	5536
ID=FBgn0002781	4945	6907	6445	4492	6850	8956	6213
ID=FBgn0002783	4125	5358	4664	3374	5030	6204	4215
ID=FBgn0002787	3364	4545	4132	2984	4367	5510	4030
ID=FBgn0002789	2	0	0	2	0	0	0
ID=FBgn0002791	381	422	420	446	534	623	519
ID=FBgn0002838	0	2	2	3	2	0	0
ID=FBgn0002842	3	0	4	8	10	4	4
ID=FBgn0002855	0	0	0	0	0	0	0
ID=FBgn0002856	0	0	0	0	0	0	0
ID=FBgn0002862	0	0	0	0	0	0	0
ID=FBgn0002863	2	0	0	5	3	0	10
ID=FBgn0002865	1	0	2	0	0	2	2
ID=FBgn0002868	200	118	132	47	31	50	272
ID=FBgn0002869	0	0	0	0	0	0	0
ID=FBgn0002872	806	864	700	938	926	1171	876
ID=FBgn0002873	2327	2794	2039	2877	2838	3461	2792
ID=FBgn0002878	762	1194	1012	590	1139	1289	1087
ID=FBgn0002887	626	738	725	604	709	949	663
ID=FBgn0002891	1077	1308	1108	1277	1537	1914	1074
ID=FBgn0002899	417	474	512	481	574	558	537
ID=FBgn0002901	195	236	192	199	258	280	251
ID=FBgn0002905	814	974	947	841	1102	1216	935
ID=FBgn0002906	729	666	686	529	583	717	681
ID=FBgn0002909	840	795	844	715	834	1036	849
ID=FBgn0002914	2503	2601	2626	2108	2675	3265	2705
ID=FBgn0002917	54	90	83	83	125	90	94
ID=FBgn0002921	13829	17927	15930	14589	20453	25344	16344
ID=FBgn0002922	40	56	41	15	18	25	8
ID=FBgn0002924	4872	6161	6076	4357	6946	8866	5315
ID=FBgn0002926	82	150	92	104	145	157	144
ID=FBgn0002930	1	0	2	2	8	6	3
ID=FBgn0002931	244	245	196	235	192	190	253
ID=FBgn0002932	706	903	858	682	867	1037	896
ID=FBgn0002933	0	0	0	0	0	0	0
ID=FBgn0002936	6	7	13	1	2	5	3
ID=FBgn0002937	0	0	0	1	2	1	1
ID=FBgn0002938	0	0	2	0	4	0	1
ID=FBgn0002939	15	12	11	4	7	6	9
ID=FBgn0002940	0	4	2	2	2	2	1
ID=FBgn0002941	1	0	4	0	2	2	1
ID=FBgn0002945	176	250	121	100	63	85	76
ID=FBgn0002948	371	515	502	377	583	689	491
ID=FBgn0002962	13	22	13	26	21	21	23
ID=FBgn0002973	213	280	202	180	209	269	178
ID=FBgn0002985	1	2	0	1	1	0	1
ID=FBgn0002989	341	507	457	370	563	649	634
ID=FBgn0003002	0	8	1	0	4	13	4
ID=FBgn0003008	162	138	184	162	191	238	203
ID=FBgn0003009	1	0	4	0	0	2	0
ID=FBgn0003011	7	6	11	10	10	14	20
ID=FBgn0003015	31	33	39	38	29	36	29
ID=FBgn0003016	2316	543	425	4377	462	605	348
ID=FBgn0003023	16	26	37	16	21	37	13
ID=FBgn0003028	10	8	16	14	14	21	6
ID=FBgn0003034	1	0	0	0	0	0	0
ID=FBgn0003041	1227	1723	1658	1652	2372	2880	1967
ID=FBgn0003042	251	338	212	272	248	351	271
ID=FBgn0003044	1876	2449	2053	1539	2455	2988	2091
ID=FBgn0003046	7	6	8	1	2	6	4
ID=FBgn0003048	4151	6935	5067	4282	6962	7895	5095
ID=FBgn0003053	92	166	128	151	215	296	48
ID=FBgn0003057	1	0	0	0	0	0	0
ID=FBgn0003060	0	0	0	0	0	0	0
ID=FBgn0003062	1706	3348	2725	1477	3488	4153	2705
ID=FBgn0003065	1	1	2	1	2	2	0
ID=FBgn0003067	1168	2055	1824	869	1620	1941	732
ID=FBgn0003068	126	286	243	106	199	334	199
ID=FBgn0003071	1237	2140	1848	1122	1781	2600	1443
ID=FBgn0003074	1628	2254	2116	2246	3810	4515	2114
ID=FBgn0003076	1276	1478	1563	1845	2467	3474	1422
ID=FBgn0003079	2576	2466	2259	2515	2389	2860	2565
ID=FBgn0003082	892	1517	1476	1009	1619	2129	1396
ID=FBgn0003086	0	0	0	0	0	0	0
ID=FBgn0003087	122	74	52	174	104	94	169
ID=FBgn0003089	23	50	23	29	17	16	14
ID=FBgn0003090	127	113	83	139	75	98	77
ID=FBgn0003091	16	11	7	10	6	8	8
ID=FBgn0003093	2574	2694	2458	1903	2080	2754	2009
ID=FBgn0003114	0	2	0	0	2	0	1
ID=FBgn0003116	156	211	212	220	204	241	220
ID=FBgn0003117	5517	8818	7436	4014	6937	8490	8390
ID=FBgn0003118	10901	12874	9425	9888	10868	12856	9466
ID=FBgn0003124	2320	2643	2533	2684	3148	3942	2763
ID=FBgn0003129	1	4	4	6	3	2	1
